timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1661285779042,949,Add item to cart,200,OK,Thread Group 1-4,text,true,,282,209,50,50,http://localhost:6060/cart/item,949,0,0
1661285776202,3790,Checkout,200,OK,Thread Group 1-3,text,true,,277,208,50,50,http://localhost:6060/checkout,3790,0,0
1661285779440,620,Home page,200,OK,Thread Group 1-21,text,true,,239,116,50,50,http://localhost:6060/,620,0,1
1661285776896,3180,Checkout,200,OK,Thread Group 1-5,text,true,,277,208,50,50,http://localhost:6060/checkout,3180,0,0
1661285777924,2166,Search items,200,OK,Thread Group 1-1,text,true,,293,206,50,50,http://localhost:6060/search,2166,0,0
1661285776954,3139,Checkout,200,OK,Thread Group 1-19,text,true,,277,208,50,50,http://localhost:6060/checkout,3139,0,0
1661285778440,1725,Add item to cart,200,OK,Thread Group 1-47,text,true,,282,209,50,50,http://localhost:6060/cart/item,1725,0,0
1661285778878,1322,Add item to cart,200,OK,Thread Group 1-49,text,true,,282,209,50,50,http://localhost:6060/cart/item,1322,0,0
1661285779036,1249,Add item to cart,200,OK,Thread Group 1-11,text,true,,282,209,50,50,http://localhost:6060/cart/item,1249,0,0
1661285775827,4497,Checkout,200,OK,Thread Group 1-50,text,true,,277,208,50,50,http://localhost:6060/checkout,4497,0,0
1661285778415,1931,Login,200,OK,Thread Group 1-45,text,true,,291,205,50,50,http://localhost:6060/login,1931,0,0
1661285779037,1311,Login,200,OK,Thread Group 1-6,text,true,,291,205,50,50,http://localhost:6060/login,1311,0,0
1661285778761,1644,Checkout,200,OK,Thread Group 1-32,text,true,,277,208,50,50,http://localhost:6060/checkout,1644,0,0
1661285779604,863,Add item to cart,200,OK,Thread Group 1-26,text,true,,282,209,50,50,http://localhost:6060/cart/item,863,0,0
1661285779048,1462,Home page,200,OK,Thread Group 1-28,text,true,,239,116,50,50,http://localhost:6060/,1462,0,0
1661285778294,2236,Checkout,200,OK,Thread Group 1-15,text,true,,277,208,50,50,http://localhost:6060/checkout,2236,0,0
1661285779626,941,Add item to cart,200,OK,Thread Group 1-9,text,true,,282,209,50,50,http://localhost:6060/cart/item,941,0,0
1661285779657,912,Home page,200,OK,Thread Group 1-33,text,true,,239,116,50,50,http://localhost:6060/,912,0,1
1661285777464,3164,Login,200,OK,Thread Group 1-7,text,true,,291,205,50,50,http://localhost:6060/login,3164,0,0
1661285779139,1514,Search items,200,OK,Thread Group 1-22,text,true,,293,206,50,50,http://localhost:6060/search,1514,0,0
1661285779572,1109,Add item to cart,200,OK,Thread Group 1-14,text,true,,282,209,50,50,http://localhost:6060/cart/item,1109,0,0
1661285778858,1931,Search items,200,OK,Thread Group 1-2,text,true,,293,206,50,50,http://localhost:6060/search,1931,0,0
1661285778410,2454,Checkout,200,OK,Thread Group 1-38,text,true,,277,208,50,50,http://localhost:6060/checkout,2454,0,0
1661285779952,927,Add item to cart,200,OK,Thread Group 1-40,text,true,,282,209,50,50,http://localhost:6060/cart/item,927,0,0
1661285777034,3901,Checkout,200,OK,Thread Group 1-43,text,true,,277,208,50,50,http://localhost:6060/checkout,3901,0,0
1661285780404,555,Home page,200,OK,Thread Group 1-32,text,true,,239,116,50,50,http://localhost:6060/,555,0,1
1661285778658,2337,Checkout,200,OK,Thread Group 1-31,text,true,,277,208,50,50,http://localhost:6060/checkout,2337,0,0
1661285779483,1521,Search items,200,OK,Thread Group 1-12,text,true,,293,206,50,50,http://localhost:6060/search,1521,0,0
1661285778638,2469,Search items,200,OK,Thread Group 1-17,text,true,,293,206,50,50,http://localhost:6060/search,2469,0,0
1661285779306,1812,Search items,200,OK,Thread Group 1-44,text,true,,293,206,50,50,http://localhost:6060/search,1812,0,0
1661285780323,860,Home page,200,OK,Thread Group 1-50,text,true,,239,116,50,50,http://localhost:6060/,860,0,1
1661285780529,705,Home page,200,OK,Thread Group 1-15,text,true,,239,116,50,50,http://localhost:6060/,705,0,1
1661285780075,1159,Home page,200,OK,Thread Group 1-5,text,true,,239,116,50,50,http://localhost:6060/,1159,0,0
1661285777149,4097,Checkout,200,OK,Thread Group 1-37,text,true,,277,208,50,50,http://localhost:6060/checkout,4097,0,0
1661285779991,1271,Home page,200,OK,Thread Group 1-3,text,true,,239,116,50,50,http://localhost:6060/,1271,0,0
1661285778919,2401,Checkout,200,OK,Thread Group 1-35,text,true,,277,208,50,50,http://localhost:6060/checkout,2401,0,0
1661285779934,1398,Login,200,OK,Thread Group 1-18,text,true,,291,205,50,50,http://localhost:6060/login,1398,0,0
1661285779355,2001,Search items,200,OK,Thread Group 1-13,text,true,,293,206,50,50,http://localhost:6060/search,2001,0,0
